miRNA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,e1036,e1048,e1059,e1044,e1026,e1051,e1041,e1037,e1007,e1045,e1043,e1047,e1029,e1046,e1008,e1019,e1033,e1017,e1049,e1034,e1061,e1015,e1004,e1024,e1039,e1003,e1014,e1001,e1052,e1038,e1020,e1042,e1060,e1054,e1023,e1063,e1062,e1005,e1010,e1055,e1050,e1027,e1006,e1011,e1013,e1009,e1030,e1012,e1040,e1002,e1053,e1032,e1058,e1016,e1056,e1057,e1035,e1031,e1022,e1021
hsa-let-7a-3p,1.6304622,1.939558941,1.855096896,1.927998443,1.314039161,1.287380987,1.766383563,1.428627406,2.066629362,1.654456516,1.688057344,1.605447027,1.775221495,2.119942086,1.698685412,1.677587403,1.577920434,1.719166852,1.809256534,2.044175547,2.03441237,1.386179536,1.766383563,1.699119622,1.994873872,1.63089641,1.766383563,1.642630769,1.824665194,1.577920434,1.386179536,1.578354644,1.902929129,1.792358007,1.83236791,1.64306498,1.534125748,1.800670878,0.967445072,1.642630769,1.921870067,1.775221495,1.592119361,1.386179536,1.287380987,1.665958229,2.052867485,1.448155869,0.902300525,1.83280212,1.428627406,1.517848667,1.447721659,1.518282877,2.048763421,1.518282877,1.156748002,2.005547279,1.193708392,1.617930337,1.618364547,1.739129525,1.072509203,1.287380987,1.792792217,1.592119361,1.548958174,1.840366042,1.677587403,0.967445072,1.861838693,1.549392385,1.592119361,1.792358007,2.074850845,1.22687501,1.902494918,2.180349186,1.775655705,2.052867485,1.286946777,1.861838693,1.719166852,1.709051032,1.157182213,1.116738099,1.766817774,1.533691537,1.729044632,1.939558941,1.984812879,1.618364547,1.825099405,2.16378568,1.824665194,1.784311399,1.861838693,2.062233654,1.688491555,2.288865047,1.875832864,1.792358007,1.847796081,2.030103182,1.709485242,1.88980974,1.63089641,1.994873872,1.563689028,1.36348286,2.222003059,1.809256534,1.927998443,1.909338204,1.957366096,2.079112671,1.895986474,1.688491555,1.875832864,1.706202524,1.921241827,1.680526866,2.061046316,1.461722354,1.94339215,1.324743668,1.793014216,1.613352847,1.337789581,1.399394465,1.674220203,1.37616322,1.046123917,1.461722354,1.698960628,1.471540147,1.750331533,1.237931976,1.559968636,1.620513073,1.860889502,1.641369519,1.722478794,1.821880392,2.072184743,1.598701042,2.074929108,1.620513073,1.782989719,1.543548179,1.635770936,1.958859078,2.165721997,1.928740346,1.717959814,1.866412457,1.620513073,1.662603165,1.472792705,2.050893632,1.835682693,2.065108003,2.001074571,1.767545789,2.241738806,2.16673142,1.895278631,1.992642469,1.386667953,1.501086933,1.815936702,1.553081747,1.575841641,1.806413463,1.591202523,1.430992592,1.950552376,1.667828885,1.526541154
hsa-let-7a-5p,4.18628263,3.975203986,3.970373158,3.712431973,3.908809823,4.077304573,3.864422901,3.956904217,4.150712735,4.03505743,3.991000679,4.195320221,4.080931776,3.069252489,4.193465061,4.101586867,3.547338216,3.851680944,4.25601849,4.305861842,3.919376112,3.810343409,3.526206402,3.751964031,4.031691544,3.807483862,3.684098375,4.18738129,3.797593177,3.996276117,3.393432707,4.02806222,3.856375676,3.605594838,3.967446941,3.433404166,3.64792405,4.365545636,3.678675314,3.884184728,4.056743286,4.088067532,3.709961675,3.245334897,3.697404762,3.715776665,3.980383264,3.32374066,3.924181763,3.788822512,3.811930064,3.857095118,3.806879953,4.065926316,4.208845841,4.054255995,3.577984218,4.116338765,3.666655272,3.934712212,3.609703472,3.700762545,3.67623405,3.652245653,4.138160565,3.824617469,4.262787303,3.8331426,4.397373991,3.741821571,3.525003112,4.221034686,3.625765234,3.813258027,3.994485426,3.525331598,3.755860615,4.001068359,3.862771591,3.741257115,3.786882896,3.527079526,3.916004854,3.56221342,3.734495057,3.895816744,3.825635407,3.772876272,3.644100816,3.709542129,3.821834811,3.802696788,3.810238612,3.91531749,3.767895887,3.429775852,3.700548507,4.022160998,3.746013438,2.986056447,4.023678572,3.67584117,3.743381131,3.809302697,3.510758256,4.139097083,3.957749895,3.602649537,4.168146812,3.902980221,4.132299192,3.952609344,3.980852157,3.996286558,4.068748047,3.535933685,3.606236586,3.566177153,3.991118579,3.929435501,3.670662953,4.099219158,3.90454165,3.593732346,3.813301622,3.437236439,3.795297523,3.97212034,3.336737575,3.647239623,3.242635099,3.735269844,3.366856634,3.816064472,4.471969937,3.357914744,3.938120744,3.597693386,3.646596274,3.601163783,3.902346902,4.096692871,4.143877432,3.958371298,3.712128275,4.388276133,3.734343098,4.014475644,3.675548893,3.962001765,3.596907964,4.009355004,4.465856338,3.813994192,4.149097406,3.430126674,3.708733987,4.075563807,3.538477551,3.972921344,4.185581509,4.174466173,3.795298008,3.695641818,3.930651788,4.419996991,3.970629917,3.272615126,3.888695702,3.682161245,3.834131086,3.970342529,3.853580688,3.845615489,4.059331072,3.171343039,3.749052849,3.996797543,3.733491439
hsa-let-7b-3p,0.639502171,1.181827248,0.948314878,1.064583529,1.181827248,1.156600441,1.181827248,1.277109865,0.414765481,1.06294409,1.181827248,0.990552284,1.40295885,1.183466686,1.126360281,1.156600441,1.386842262,1.433533549,1.317424677,1.463773707,1.095785584,1.027472576,1.095785584,1.277109865,1.231117706,1.388481701,1.181827248,1.352736411,1.296086113,1.154961002,1.06294409,1.12799972,0.90162359,1.296086113,1.275470426,0.790251755,1.255488145,1.181827248,0.90162359,1.315785238,1.317424677,0.639502171,1.029112015,1.126360281,0.90162359,1.702147084,1.334645844,0.990552284,1.095785584,1.255488145,1.678930065,1.275470426,1.418509827,1.297725552,1.232757145,1.336285283,1.60325938,1.503485994,1.539930412,0.946675439,1.634128577,1.064583529,1.501846555,1.208796858,1.183466686,1.297725552,1.475770955,0.990552284,1.208796858,1.12799972,1.231117706,1.156600441,1.208796858,0.988912845,1.386842262,1.154961002,1.296086113,1.462134268,1.317424677,1.462134268,1.181827248,1.386842262,1.315785238,1.06294409,1.183466686,1.4480646,1.371756797,2.009320352,1.181827248,1.370117358,1.064583529,1.097425022,1.528112182,1.255488145,1.095785584,0.64114161,0.988912845,1.528112182,1.404598289,1.277109865,1.4480646,1.296086113,0.721938748,1.420149266,1.371756797,1.029112015,1.029112015,0.788612316,0.946675439,1.782944223,1.297725552,1.711771557,1.208796858,1.35437585,1.156600441,1.352736411,1.181827248,1.232757145,1.475770955,1.064320494,1.176638566,1.141173325,1.318605988,0.894116524,1.293895808,0.163807641,1.107264718,0.894116524,1.059381324,1.064320494,1.318605988,1.181577736,1.181577736,1.293895808,1.011373766,1.318605988,1.239469328,0.728851724,0.956947285,1.363940795,1.176638566,1.059381324,1.209263425,1.617882321,1.536294351,0.819803507,1.267590349,1.011373766,0.961886455,1.507168166,1.244408497,1.368879965,1.464099778,1.491785467,1.38978676,1.107264718,1.588960167,1.428634536,1.409673297,1.480738543,1.272529518,1.629364578,1.550112391,1.512107336,1.404734127,1.423695367,1.640532212,0.961886455,1.059381324,1.107264718,1.363940795,1.214202595,0.956947285,1.141173325,0.956947285,0.611594483,1.102325549,1.141173325,1.239469328
hsa-let-7b-5p,3.939202903,3.725716087,3.798298889,4.013500209,3.612288308,3.558420459,4.062680971,3.985089092,3.494868596,3.696924385,3.729106647,3.545806875,3.767576707,4.340032459,3.778023465,3.949510781,4.544999651,3.29321858,3.766146081,4.327389301,3.779285657,3.770515642,4.026173306,3.885363623,3.894023412,3.97584852,3.997054246,4.519627294,4.51607746,3.744236376,3.889857562,3.588393055,3.819833472,4.621333759,3.873067652,3.771457957,4.179181451,4.658175788,3.572033672,4.308007906,4.026026922,3.986986968,3.871400388,4.061544979,3.58425078,4.257322704,4.30229405,3.922947568,3.741038119,4.338262468,4.079288562,4.072523697,4.053845455,3.736412964,4.530565927,3.833972296,4.31672744,4.008884606,3.760329902,3.922122233,4.308545996,4.330515134,4.20586762,3.804163701,3.85273186,4.128271345,4.505437471,3.98818427,4.264392353,3.915007589,4.580346609,4.125583795,3.698561969,3.785473455,4.075234685,3.811209822,4.264920432,4.197078284,3.925010626,4.036902471,3.670433669,4.275681727,4.129944267,3.923835527,3.910048724,3.866694385,4.009919111,4.038297839,3.769442715,4.560245565,4.026425089,4.012104193,4.184756365,4.202132475,3.705547422,3.704507042,3.633814278,3.927063984,4.310190996,3.750560585,4.017818072,4.291353155,3.800173521,4.317200876,3.730732724,4.17142643,3.857679357,3.836927421,3.935105235,4.157835807,3.960200143,4.089465539,4.290834483,3.912793388,4.383121553,4.341791317,4.359600265,3.93640662,3.952119509,3.98695456,4.208479576,4.052642617,4.140102981,3.437709715,3.790963692,3.681591365,3.844345532,3.891394504,3.465251936,3.838452913,3.636108453,4.014818905,3.78181513,3.969321529,4.352042882,3.767673348,4.254690869,4.108556594,3.786031547,4.007840668,4.183885971,3.967857768,4.272242005,4.189878586,3.725608801,4.173230521,3.998626025,3.699678556,3.890926721,4.139028772,3.707848788,4.149310867,4.416800683,4.343251242,4.191211299,3.67587828,4.431173832,4.28056506,3.800530389,3.892102782,4.564996748,4.215929067,4.144147367,4.031017259,4.388603153,4.434263767,4.340163669,3.821724432,3.993689416,3.730913615,3.87515396,4.074171198,3.803047858,4.116709734,3.801963471,3.001795129,4.082959408,4.076697576,3.703808021
hsa-let-7c-5p,2.781000369,2.69375135,2.556361598,2.535110979,2.428277349,2.514999597,2.531932093,2.722939808,2.570001986,2.575664939,2.565115436,2.603325055,2.569940687,2.234646899,2.717338174,2.732477619,2.492772935,2.316429775,2.822788818,3.032640921,2.693017363,2.387314772,2.42696912,2.520377931,2.668888957,2.548381488,2.476595911,2.975468736,2.741099148,2.464682233,2.062828305,2.596125812,2.535110979,2.594246952,2.453689465,2.149611793,2.550389537,3.197225244,2.256038767,2.622499507,2.824999603,2.655536493,2.492834234,2.119872955,2.385945766,2.629299516,2.742420534,3.014380868,2.381566668,2.654800146,2.710378845,2.577557296,2.606821548,2.613043505,2.975927306,2.5851111,2.456155112,2.741160447,2.377269241,2.476595911,2.528854526,2.430943994,2.475418338,2.371392582,2.63104522,2.547374167,2.900992761,2.626822581,2.911678715,2.490557783,2.582254399,2.71460407,2.272830005,2.560239015,2.850148798,2.290733579,2.785828154,2.795334275,2.615658729,2.402761308,2.378665446,2.552327554,2.712435011,2.491636118,2.514999597,2.511680843,2.633560316,2.592422179,2.332795995,2.745707484,2.639375924,2.531993393,2.60243129,2.83102502,2.375745803,2.139930546,2.324685693,2.668950256,2.726368923,2.029922625,2.864536098,2.605934677,2.497353605,2.703967307,2.331246637,2.847592889,2.587889611,2.469484807,2.651534359,2.754145193,2.756131864,2.725685143,2.750331394,2.603325055,2.857973517,2.588750765,2.546303334,2.397265533,2.696675634,2.546806087,2.508745679,2.680418478,2.615707285,2.160285501,2.400949347,2.253355643,2.471150071,2.592475146,1.992028227,2.318283333,2.264957043,2.424255448,2.134411535,2.473210986,2.969188415,2.175072329,2.753767169,2.468801394,2.471012637,2.381890341,2.637590551,2.608121199,2.689172139,2.757016167,2.436399743,2.885940999,2.614202231,2.641818809,2.506883024,2.633314333,2.384810191,2.715568116,2.990483156,2.735632788,2.785840363,2.466714541,2.644611532,2.764178148,2.37640057,2.615844719,2.894061741,2.879418511,2.897497943,2.707409806,2.844093465,3.042699548,2.717867,2.24555561,2.566007034,2.42674401,2.668856612,2.632015515,2.498637412,2.644611532,2.569418964,1.827191729,2.581123276,2.684194962,2.445944957
hsa-let-7d-3p,2.231032072,2.675460019,2.545207593,2.268920396,2.526469688,2.81202414,2.653716965,3.093043649,2.046710858,2.693975303,2.673182945,2.637088767,2.73864663,3.130065647,2.643230671,2.834927438,3.176410793,2.790762744,2.728867054,2.897492317,2.68221889,2.565476768,2.424933327,2.617647587,2.582773548,2.690582286,2.484701885,2.78495317,2.720657776,2.612762947,2.444937339,2.686189074,2.3377412,2.767641529,2.741248006,2.297432668,2.650907109,2.442323956,2.461580767,2.667050371,2.749650325,2.129204487,2.50544934,2.615387095,2.318939712,2.912356258,2.672421199,2.386644422,2.882747183,2.717397815,3.105563587,2.93472376,2.914948372,2.853692179,2.848701835,2.673489013,3.139734299,2.911576039,3.01004586,2.170923734,3.078393336,2.490546993,3.025106633,2.883388317,2.483488547,2.974993998,2.94205995,2.610671277,2.803176459,2.944066899,2.983599573,2.418222522,2.519846426,2.338954538,2.760266408,2.662392117,2.849412898,2.7540211,2.739385817,2.575172927,2.565476768,2.591164733,2.736029221,2.61625822,2.603578447,2.874300363,2.776066582,3.15370836,2.401061102,2.731409574,2.438481055,2.497490035,2.814207556,2.562297347,2.318401816,1.731961492,2.256143229,2.991449177,2.833369002,2.943665697,3.015018905,2.679977864,2.198512845,2.900168839,2.522018672,2.286256409,2.777849677,2.233182321,2.43170657,3.169608368,2.489378702,2.877331436,2.674246682,2.676511612,2.566220454,2.624018964,2.559550997,2.554340704,2.722694582,2.366010351,2.497911052,2.653947498,2.758684492,2.332325747,2.499949734,2.489664281,2.570160218,2.43912513,2.54633709,2.438492902,2.750521768,2.730796536,2.676431281,2.818207652,2.355214687,2.805864879,2.743407375,2.485484495,2.382304452,2.692922815,2.542646075,2.3796665,2.586773041,2.946671575,2.794250605,2.151130869,2.617676375,2.302004502,2.570160218,2.779029326,2.530336553,2.84663192,2.794497859,2.734965017,2.998458634,2.503062238,3.122063103,2.834144504,3.194565518,3.072398598,2.954972738,2.915149073,2.764427145,2.684604416,3.157731746,2.975527735,3.274452775,2.429152101,2.384927288,2.402436201,2.51199473,2.482534878,2.34104379,2.504000056,2.227253331,2.441442519,2.792106885,2.548171496,2.483380199
hsa-let-7d-5p,3.167665218,2.970325475,3.119561405,2.739540346,2.981463493,3.108336269,3.075805441,2.961631493,2.874643109,3.074113018,3.072414035,3.146247804,3.124515294,2.383624711,3.125647461,3.087047743,2.909948097,2.815360803,3.114951333,3.2714496,2.839905161,3.017635508,2.606732137,2.856220011,3.04384061,2.601765365,2.620071221,2.913631623,2.743176745,2.998917153,2.589146061,2.885205957,2.864503792,2.57481579,3.045653796,2.513803982,2.49196061,2.910564172,2.510749356,2.823695897,2.992822322,3.062950062,2.547482477,2.20693108,2.612831964,2.364804868,2.991302538,2.329170548,2.849916555,2.693558983,2.541808132,2.847079413,2.627179544,3.100423834,3.167993776,3.114178252,2.512293088,3.048795176,2.672878875,3.084585015,2.495148529,2.82741905,2.617675931,2.605485362,3.105188414,2.800565871,3.157269387,2.610396753,3.300717763,2.629509839,2.455285994,3.302231882,2.789346396,2.781166702,2.79740326,2.651188351,2.375367716,3.178822873,2.904350352,3.095216843,2.841349436,2.561368816,2.860395228,2.487148592,2.674991347,2.916070221,2.780325111,2.651188351,2.710414877,2.642196508,2.914228786,2.9232919,2.963272182,2.655602276,2.88782113,2.319793998,2.795806402,3.068982427,2.52433059,2.322157007,2.804517993,2.601779124,2.61161605,2.753854663,2.409475196,2.998399848,2.98040108,2.644461821,3.165261484,2.620071221,3.07325059,2.884553184,3.087047743,3.122608068,3.009837537,2.580081162,2.688493461,2.31502942,3.016670008,2.812407145,2.808981643,3.214487031,2.808981643,2.734936801,2.758669218,2.486094749,2.846603958,2.946778552,2.57605276,2.761978963,2.471826482,2.622887925,2.353924151,2.795286524,3.417496187,2.397497264,2.973552491,2.311996663,2.521263709,2.57605276,3.024248139,3.050559672,3.03164286,2.80792926,2.742608357,3.333984941,2.656572922,2.935865383,2.62906779,2.917019797,2.561835783,3.117441247,3.471640145,2.769775393,3.064831123,2.487119278,2.607080155,2.978188586,2.549964067,3.044863874,2.987412398,3.192060151,2.781128241,2.708457915,2.906874255,3.394846458,2.935443517,2.570744166,2.944979331,2.698183086,2.736719678,2.874820324,2.774136663,2.823208751,3.078472859,2.315254876,2.775760498,3.042638497,2.793218974
hsa-let-7e-5p,1.804878387,1.344444794,1.508062181,1.703044418,1.72841301,2.107406514,1.959765651,2.487403933,1.230655124,1.870030636,2.100621155,1.842431358,1.903352366,1.357610163,1.824495095,1.914381278,1.773714624,1.555403555,1.837810338,2.161899108,1.903352366,1.829265988,1.703889853,1.877754466,2.559009103,1.881977496,1.734336633,1.794733037,1.677923349,1.922969074,1.266823667,1.992883374,2.053849571,1.372035232,1.677923349,1.902506931,1.837810338,1.657393913,1.66349828,2.186604584,2.271813294,1.422524893,2.073342474,1.555403555,1.851530717,2.108251949,1.385209442,1.772869189,1.934333734,1.828420554,2.351112594,2.302873792,2.060352817,2.33635191,1.73933636,2.321080378,1.882822931,2.429388819,2.122283314,1.467826508,1.929732505,1.788726103,2.223063191,2.146015013,2.183642583,1.958920216,2.238347949,2.26303958,1.809019484,2.005769057,1.231500559,1.9372124,1.66349828,2.245796283,2.291368027,1.861291672,1.993728809,2.031309229,2.406944834,1.93057794,1.703889853,1.564142519,1.838655773,1.903352366,1.989602294,2.169380807,1.979610096,2.291368027,1.613226756,1.597464249,1.809019484,1.944567625,1.683714178,2.189962069,1.856856426,1.5456426,1.903352366,1.986296637,1.976228445,1.798989432,2.457345516,1.605415875,2.042311573,1.989602294,1.958920216,1.89030422,2.435425894,1.77906382,2.031309229,2.301248364,2.129537777,2.119838414,1.999373246,2.094614219,2.220269395,1.751644862,1.422524893,1.847004489,2.270917885,1.853429063,1.357423162,1.988171603,2.269140801,1.426115396,2.011675004,1.695008373,1.933918758,1.963242905,1.660722057,1.579374544,1.171567976,2.115599313,1.453802351,2.068482087,1.867181046,1.536424896,1.877862103,1.796516637,2.033907314,1.877862103,1.821445334,1.927464038,1.78346165,2.262263185,1.809169869,1.954585795,1.90833512,2.094190307,1.960456841,1.726654565,1.780675586,2.00888894,1.88548666,1.769978554,2.512997308,1.453802351,2.048087946,2.293909378,2.038272693,2.426238957,1.924677974,2.391712597,2.08791236,1.738822788,2.326079194,2.353502526,2.366971446,1.105395527,1.603252286,1.951799731,2.212484476,1.657935993,1.90833512,1.971721506,1.603252286,1.559928297,2.048087946,1.888272723,1.936704822
hsa-let-7f-5p,4.06974939,4.00009675,3.984546764,3.670490556,3.831841478,4.031403332,3.757052216,3.71059171,4.370660952,3.9861231,3.941648518,4.24916545,4.005132685,3.090367172,4.197283429,4.01764934,3.100699667,3.829598495,4.209214783,4.144657532,3.830328677,3.587349069,3.337728005,3.567496267,3.975476462,3.684253779,3.61895458,3.971706992,3.60847858,3.807011972,3.14878436,3.954796834,3.719161933,3.318450334,3.911629211,3.386101805,3.647281681,4.277015648,3.42894592,3.67814485,3.95670631,3.913456416,3.644684367,2.954024802,3.697164117,3.598410132,3.83695879,3.356864065,3.558205454,3.728273675,3.684176743,3.771456678,3.710154429,3.974478144,4.003046387,3.921001306,3.259325088,3.99404659,3.533615224,3.764051814,3.309768301,3.44693901,3.429083275,3.404267798,3.932978873,3.600235779,3.972200435,3.847826044,4.247223289,3.523531421,3.321548964,3.980827196,3.492219058,3.88474947,3.924496531,3.482215795,3.73330488,3.902908248,3.667783126,3.583697997,3.563479936,3.375826149,3.765542452,3.546109615,3.487140816,3.692725743,3.596981785,3.588495983,3.547991557,3.535081183,3.772807312,3.56329601,3.441982692,3.872274313,3.728627682,3.447068714,3.618865292,3.914404622,3.641564826,3.344037168,3.956776976,3.520133277,3.763582636,3.779855044,3.507008879,4.084689327,3.885882096,3.643882745,3.995824651,3.67594445,4.068947659,3.813428718,3.948632133,3.910578341,4.00262548,3.447535045,3.418946266,3.44132651,3.941912144,3.633398339,3.534170233,3.977798867,3.862066241,3.491758015,3.741242319,3.099649187,3.695875005,3.770869212,3.153460864,3.398133023,2.99322678,3.57172131,3.124286426,3.583309292,4.350831436,3.162908772,3.782593578,3.52717731,3.615683005,3.413228796,3.869714713,3.989284238,3.968494824,3.824460463,3.60073445,4.277616841,3.625895614,4.002439406,3.652842909,3.62223894,3.462059048,3.857276968,4.379794931,3.709478668,3.965212628,3.397131042,3.504442841,3.907976388,3.419067246,4.005037306,4.065957912,4.050910613,3.764479918,3.558597917,3.997891436,4.381799853,3.840783805,3.32385307,3.73822327,3.602474065,3.854571567,3.815862562,3.746392551,3.867182089,4.092027931,3.149615727,3.771157128,3.884141013,3.610181632
hsa-let-7g-5p,4.142387897,3.790741189,3.763569226,3.375068804,3.426256385,3.642669685,3.407203606,3.301167033,4.441273121,3.595796237,3.556618333,3.867669178,3.709851552,3.026664218,3.847564287,3.520596537,2.960178247,3.644215744,3.872307322,3.719610236,3.404762979,3.170320205,3.174093238,3.225200563,3.5876475,3.43335827,3.37769372,3.757775777,3.556933402,3.434859338,2.974004825,3.636932662,3.383550162,3.402979441,3.688301971,3.190791964,3.395973533,3.973785799,3.016041018,3.410070651,3.523492765,3.665273964,3.250535133,2.862840935,3.191153319,3.320686231,3.649989967,3.064845001,3.112065947,3.536872003,3.232166068,3.457340394,3.305340947,3.453121059,3.827927801,3.48778192,3.058308491,3.62035054,3.076245257,3.673447294,3.122495878,3.21880206,3.023756632,2.941849558,3.577292921,3.327380468,3.655815267,3.378150395,4.038200903,3.121227581,3.297179001,3.822105998,3.362766812,3.491884802,3.615255959,3.256432764,3.571645331,3.617594747,3.393242919,3.567513806,3.381228475,3.474001724,3.610680184,3.254246047,3.237725203,3.297179001,3.410915858,3.199636207,3.444112053,3.628303144,3.521961841,3.415062554,3.3821479,3.64422144,3.512741283,3.331864049,3.477599205,3.678839056,3.590176636,3.354619544,3.659198913,3.497687988,3.384016593,3.67137803,3.230847774,3.858878378,3.610706312,3.550908177,3.829708618,3.425195651,3.783300121,3.572153643,3.65316595,3.611819261,3.788260626,3.508015188,3.522384756,3.209199898,3.56520165,3.435130177,3.709940133,3.78153927,3.539406648,3.331241953,3.502129584,2.946446741,3.50640137,3.485623459,3.008323394,3.315350782,3.071981219,3.182449737,3.098694475,3.22442558,4.046603678,3.111973513,3.617731637,3.326728642,3.230647686,3.355556358,3.900176887,3.679971293,3.774515107,3.451582828,3.427835041,3.888909103,3.440999656,3.624533607,3.441139593,3.382506387,3.031011905,3.628936886,4.121000202,3.689723908,3.553149738,3.007982938,3.348818597,3.602070328,3.081168336,3.433015316,3.816937632,3.771630519,3.68291118,3.562019176,3.643460961,4.039729101,3.48517442,3.472130179,3.77163096,3.286040505,3.346320343,3.589882705,3.361088572,3.724171137,3.79654686,2.990684961,3.406530173,3.805770213,3.35822105
